cod;nome;período;valor
11;RO;1989;47
53;DF;1989;23
52;GO;1989;91
51;MT;1989;31
50;MS;1989;39
43;RS;1989;142
42;SC;1989;39
41;PR;1989;105
35;SP;1989;671
33;RJ;1989;304
32;ES;1989;75
31;MG;1989;168
29;BA;1989;80
28;SE;1989;15
27;AL;1989;66
26;PE;1989;173
25;PB;1989;52
24;RN;1989;14
23;CE;1989;47
22;PI;1989;17
21;MA;1989;28
17;TO;1989;14
16;AP;1989;3
15;PA;1989;51
14;RR;1989;12
13;AM;1989;31
12;AC;1989;6
53;DF;1990;40
11;RO;1990;37
12;AC;1990;6
13;AM;1990;31
14;RR;1990;20
15;PA;1990;78
16;AP;1990;5
17;TO;1990;7
21;MA;1990;32
22;PI;1990;5
23;CE;1990;45
24;RN;1990;20
25;PB;1990;41
26;PE;1990;219
27;AL;1990;55
28;SE;1990;13
29;BA;1990;77
31;MG;1990;148
32;ES;1990;88
33;RJ;1990;477
35;SP;1990;679
41;PR;1990;125
42;SC;1990;46
43;RS;1990;157
50;MS;1990;40
51;MT;1990;39
52;GO;1990;58
11;RO;1991;33
12;AC;1991;9
13;AM;1991;18
14;RR;1991;9
15;PA;1991;72
16;AP;1991;5
17;TO;1991;9
21;MA;1991;54
22;PI;1991;11
23;CE;1991;53
24;RN;1991;17
25;PB;1991;40
26;PE;1991;232
27;AL;1991;67
28;SE;1991;21
29;BA;1991;64
31;MG;1991;159
32;ES;1991;95
33;RJ;1991;370
35;SP;1991;789
41;PR;1991;149
42;SC;1991;38
43;RS;1991;156
50;MS;1991;47
51;MT;1991;49
52;GO;1991;110
53;DF;1991;52
53;DF;1992;40
11;RO;1992;35
12;AC;1992;13
13;AM;1992;26
14;RR;1992;9
15;PA;1992;56
16;AP;1992;4
17;TO;1992;5
21;MA;1992;30
22;PI;1992;10
23;CE;1992;42
24;RN;1992;15
25;PB;1992;36
26;PE;1992;171
27;AL;1992;53
28;SE;1992;28
29;BA;1992;79
31;MG;1992;154
32;ES;1992;85
33;RJ;1992;319
35;SP;1992;644
41;PR;1992;116
42;SC;1992;50
43;RS;1992;161
50;MS;1992;58
51;MT;1992;35
52;GO;1992;125
11;RO;1993;55
12;AC;1993;12
13;AM;1993;33
14;RR;1993;4
15;PA;1993;46
16;AP;1993;5
17;TO;1993;12
21;MA;1993;33
22;PI;1993;13
23;CE;1993;61
24;RN;1993;21
25;PB;1993;26
26;PE;1993;218
27;AL;1993;50
28;SE;1993;25
29;BA;1993;120
31;MG;1993;181
32;ES;1993;101
33;RJ;1993;381
35;SP;1993;726
41;PR;1993;138
42;SC;1993;34
43;RS;1993;113
50;MS;1993;39
51;MT;1993;31
52;GO;1993;96
53;DF;1993;49
53;DF;1994;50
11;RO;1994;37
12;AC;1994;11
13;AM;1994;27
14;RR;1994;6
15;PA;1994;59
16;AP;1994;16
17;TO;1994;13
21;MA;1994;24
22;PI;1994;10
23;CE;1994;59
24;RN;1994;19
25;PB;1994;28
26;PE;1994;191
27;AL;1994;48
28;SE;1994;32
29;BA;1994;180
31;MG;1994;170
32;ES;1994;108
33;RJ;1994;491
35;SP;1994;787
41;PR;1994;130
42;SC;1994;45
43;RS;1994;138
50;MS;1994;48
51;MT;1994;20
52;GO;1994;93
11;RO;1995;37
12;AC;1995;16
13;AM;1995;42
14;RR;1995;8
15;PA;1995;59
16;AP;1995;11
17;TO;1995;5
21;MA;1995;40
22;PI;1995;19
23;CE;1995;55
24;RN;1995;30
25;PB;1995;66
26;PE;1995;205
27;AL;1995;62
28;SE;1995;27
29;BA;1995;165
31;MG;1995;145
32;ES;1995;123
33;RJ;1995;587
35;SP;1995;959
41;PR;1995;163
42;SC;1995;48
43;RS;1995;151
50;MS;1995;51
51;MT;1995;66
52;GO;1995;129
53;DF;1995;57
11;RO;1996;43
12;AC;1996;15
13;AM;1996;33
14;RR;1996;18
15;PA;1996;78
16;AP;1996;16
17;TO;1996;21
21;MA;1996;31
22;PI;1996;14
23;CE;1996;84
24;RN;1996;35
25;PB;1996;106
26;PE;1996;245
27;AL;1996;70
28;SE;1996;30
29;BA;1996;176
31;MG;1996;185
32;ES;1996;123
33;RJ;1996;651
35;SP;1996;959
41;PR;1996;154
42;SC;1996;67
43;RS;1996;192
50;MS;1996;79
51;MT;1996;87
52;GO;1996;119
53;DF;1996;52
11;RO;1997;33
53;DF;1997;48
52;GO;1997;94
51;MT;1997;88
50;MS;1997;71
43;RS;1997;190
42;SC;1997;51
41;PR;1997;157
35;SP;1997;1028
33;RJ;1997;646
32;ES;1997;128
31;MG;1997;179
29;BA;1997;175
28;SE;1997;18
27;AL;1997;62
26;PE;1997;243
25;PB;1997;42
24;RN;1997;27
23;CE;1997;85
22;PI;1997;13
21;MA;1997;46
17;TO;1997;19
16;AP;1997;12
15;PA;1997;76
14;RR;1997;10
13;AM;1997;33
12;AC;1997;14
53;DF;1998;54
11;RO;1998;45
12;AC;1998;12
13;AM;1998;52
14;RR;1998;12
15;PA;1998;67
16;AP;1998;12
17;TO;1998;19
21;MA;1998;30
22;PI;1998;20
23;CE;1998;56
24;RN;1998;20
25;PB;1998;41
26;PE;1998;277
27;AL;1998;45
28;SE;1998;13
29;BA;1998;101
31;MG;1998;201
32;ES;1998;163
33;RJ;1998;560
35;SP;1998;1034
41;PR;1998;178
42;SC;1998;69
43;RS;1998;181
50;MS;1998;73
51;MT;1998;93
52;GO;1998;76
11;RO;1999;38
12;AC;1999;7
13;AM;1999;51
14;RR;1999;15
15;PA;1999;39
16;AP;1999;17
17;TO;1999;16
21;MA;1999;27
22;PI;1999;7
23;CE;1999;91
24;RN;1999;24
25;PB;1999;34
26;PE;1999;265
27;AL;1999;55
28;SE;1999;40
29;BA;1999;88
31;MG;1999;222
32;ES;1999;128
33;RJ;1999;543
35;SP;1999;1123
41;PR;1999;182
42;SC;1999;50
43;RS;1999;163
50;MS;1999;63
51;MT;1999;71
52;GO;1999;117
53;DF;1999;60
11;RO;2000;46
12;AC;2000;13
13;AM;2000;36
14;RR;2000;22
15;PA;2000;63
16;AP;2000;4
17;TO;2000;16
21;MA;2000;32
22;PI;2000;14
23;CE;2000;106
24;RN;2000;22
25;PB;2000;44
26;PE;2000;310
27;AL;2000;64
28;SE;2000;37
29;BA;2000;132
31;MG;2000;252
32;ES;2000;113
33;RJ;2000;540
35;SP;2000;1150
41;PR;2000;164
42;SC;2000;53
43;RS;2000;175
50;MS;2000;72
51;MT;2000;81
52;GO;2000;142
53;DF;2000;41
53;DF;2001;44
11;RO;2001;65
12;AC;2001;12
13;AM;2001;55
14;RR;2001;7
15;PA;2001;97
16;AP;2001;12
17;TO;2001;23
21;MA;2001;54
22;PI;2001;35
23;CE;2001;114
24;RN;2001;24
25;PB;2001;45
26;PE;2001;294
27;AL;2001;54
28;SE;2001;31
29;BA;2001;122
31;MG;2001;241
32;ES;2001;132
33;RJ;2001;566
35;SP;2001;1100
41;PR;2001;197
42;SC;2001;60
43;RS;2001;180
50;MS;2001;64
51;MT;2001;92
52;GO;2001;131
11;RO;2002;44
53;DF;2002;50
52;GO;2002;145
51;MT;2002;92
50;MS;2002;77
43;RS;2002;198
42;SC;2002;75
41;PR;2002;204
35;SP;2002;1053
33;RJ;2002;560
32;ES;2002;149
31;MG;2002;294
29;BA;2002;123
28;SE;2002;37
27;AL;2002;70
26;PE;2002;274
25;PB;2002;46
24;RN;2002;23
23;CE;2002;125
22;PI;2002;27
21;MA;2002;39
17;TO;2002;20
16;AP;2002;12
15;PA;2002;73
14;RR;2002;12
13;AM;2002;35
12;AC;2002;11
12;AC;2003;15
11;RO;2003;51
53;DF;2003;62
52;GO;2003;143
51;MT;2003;90
50;MS;2003;64
43;RS;2003;177
42;SC;2003;70
41;PR;2003;227
35;SP;2003;1029
33;RJ;2003;527
32;ES;2003;141
31;MG;2003;376
29;BA;2003;152
28;SE;2003;34
27;AL;2003;67
26;PE;2003;274
25;PB;2003;35
24;RN;2003;32
23;CE;2003;103
22;PI;2003;32
21;MA;2003;69
17;TO;2003;22
16;AP;2003;15
15;PA;2003;93
14;RR;2003;6
13;AM;2003;35
11;RO;2004;33
53;DF;2004;52
52;GO;2004;142
51;MT;2004;99
50;MS;2004;55
43;RS;2004;195
42;SC;2004;79
41;PR;2004;249
35;SP;2004;861
33;RJ;2004;506
32;ES;2004;137
31;MG;2004;373
29;BA;2004;195
28;SE;2004;29
27;AL;2004;75
26;PE;2004;276
25;PB;2004;60
24;RN;2004;21
23;CE;2004;123
22;PI;2004;26
21;MA;2004;53
17;TO;2004;18
16;AP;2004;15
15;PA;2004;93
14;RR;2004;7
13;AM;2004;49
12;AC;2004;10
11;RO;2005;49
12;AC;2005;13
13;AM;2005;48
14;RR;2005;11
15;PA;2005;127
16;AP;2005;15
17;TO;2005;21
21;MA;2005;58
22;PI;2005;40
23;CE;2005;143
24;RN;2005;41
25;PB;2005;62
26;PE;2005;282
27;AL;2005;74
28;SE;2005;28
29;BA;2005;211
31;MG;2005;377
32;ES;2005;149
33;RJ;2005;507
35;SP;2005;776
41;PR;2005;239
42;SC;2005;68
43;RS;2005;209
50;MS;2005;70
51;MT;2005;89
52;GO;2005;133
53;DF;2005;47
11;RO;2006;51
53;DF;2006;49
52;GO;2006;143
51;MT;2006;70
50;MS;2006;55
43;RS;2006;162
42;SC;2006;92
41;PR;2006;249
35;SP;2006;788
33;RJ;2006;504
32;ES;2006;183
31;MG;2006;392
29;BA;2006;243
28;SE;2006;40
27;AL;2006;106
26;PE;2006;310
25;PB;2006;62
24;RN;2006;42
23;CE;2006;134
22;PI;2006;32
21;MA;2006;67
17;TO;2006;22
16;AP;2006;13
15;PA;2006;140
14;RR;2006;13
13;AM;2006;53
12;AC;2006;15
53;DF;2007;55
11;RO;2007;28
12;AC;2007;18
13;AM;2007;52
14;RR;2007;19
15;PA;2007;144
16;AP;2007;12
17;TO;2007;28
21;MA;2007;63
22;PI;2007;35
23;CE;2007;126
24;RN;2007;42
25;PB;2007;69
26;PE;2007;290
27;AL;2007;109
28;SE;2007;34
29;BA;2007;249
31;MG;2007;403
32;ES;2007;186
33;RJ;2007;416
35;SP;2007;595
41;PR;2007;241
42;SC;2007;70
43;RS;2007;193
50;MS;2007;67
51;MT;2007;95
52;GO;2007;139
11;RO;2008;39
12;AC;2008;13
13;AM;2008;63
14;RR;2008;15
15;PA;2008;169
16;AP;2008;13
17;TO;2008;21
21;MA;2008;81
22;PI;2008;38
23;CE;2008;117
24;RN;2008;59
25;PB;2008;87
26;PE;2008;298
27;AL;2008;83
28;SE;2008;30
29;BA;2008;315
31;MG;2008;377
32;ES;2008;190
33;RJ;2008;373
35;SP;2008;667
41;PR;2008;306
42;SC;2008;86
43;RS;2008;219
50;MS;2008;60
51;MT;2008;86
52;GO;2008;160
53;DF;2008;64
53;DF;2009;76
11;RO;2009;51
12;AC;2009;16
13;AM;2009;67
14;RR;2009;24
15;PA;2009;180
16;AP;2009;12
17;TO;2009;31
21;MA;2009;87
22;PI;2009;31
23;CE;2009;138
24;RN;2009;57
25;PB;2009;98
26;PE;2009;304
27;AL;2009;111
28;SE;2009;36
29;BA;2009;345
31;MG;2009;402
32;ES;2009;216
33;RJ;2009;350
35;SP;2009;660
41;PR;2009;331
42;SC;2009;93
43;RS;2009;225
50;MS;2009;65
51;MT;2009;94
52;GO;2009;165
11;RO;2010;37
12;AC;2010;19
13;AM;2010;65
14;RR;2010;11
15;PA;2010;231
16;AP;2010;16
17;TO;2010;34
21;MA;2010;117
22;PI;2010;40
23;CE;2010;173
24;RN;2010;71
25;PB;2010;119
26;PE;2010;247
27;AL;2010;137
28;SE;2010;43
29;BA;2010;438
31;MG;2010;409
32;ES;2010;174
33;RJ;2010;339
35;SP;2010;678
41;PR;2010;338
42;SC;2010;110
43;RS;2010;227
50;MS;2010;76
51;MT;2010;80
52;GO;2010;182
53;DF;2010;66
53;DF;2011;79
11;RO;2011;48
12;AC;2011;18
13;AM;2011;81
14;RR;2011;10
15;PA;2011;186
16;AP;2011;19
17;TO;2011;49
21;MA;2011;131
22;PI;2011;32
23;CE;2011;189
24;RN;2011;76
25;PB;2011;140
26;PE;2011;261
27;AL;2011;138
28;SE;2011;60
29;BA;2011;449
31;MG;2011;457
32;ES;2011;167
33;RJ;2011;366
35;SP;2011;580
41;PR;2011;283
42;SC;2011;74
43;RS;2011;202
50;MS;2011;78
51;MT;2011;87
52;GO;2011;262
11;RO;2012;51
12;AC;2012;16
13;AM;2012;118
14;RR;2012;17
15;PA;2012;232
16;AP;2012;17
17;TO;2012;49
21;MA;2012;114
22;PI;2012;46
23;CE;2012;219
24;RN;2012;64
25;PB;2012;137
26;PE;2012;216
27;AL;2012;133
28;SE;2012;62
29;BA;2012;437
31;MG;2012;460
32;ES;2012;163
33;RJ;2012;365
35;SP;2012;640
41;PR;2012;321
42;SC;2012;104
43;RS;2012;247
50;MS;2012;77
51;MT;2012;100
52;GO;2012;247
53;DF;2012;77
27;AL;2013;142
11;RO;2013;52
12;AC;2013;32
13;AM;2013;96
14;RR;2013;36
15;PA;2013;231
16;AP;2013;19
17;TO;2013;40
21;MA;2013;131
22;PI;2013;47
23;CE;2013;278
24;RN;2013;89
25;PB;2013;126
26;PE;2013;256
28;SE;2013;56
29;BA;2013;423
31;MG;2013;427
32;ES;2013;171
33;RJ;2013;387
35;SP;2013;620
41;PR;2013;283
42;SC;2013;102
43;RS;2013;210
50;MS;2013;75
51;MT;2013;91
52;GO;2013;271
53;DF;2013;78
11;RO;2014;56
53;DF;2014;60
52;GO;2014;290
51;MT;2014;111
50;MS;2014;85
43;RS;2014;250
42;SC;2014;111
41;PR;2014;284
35;SP;2014;612
33;RJ;2014;464
32;ES;2014;140
31;MG;2014;403
29;BA;2014;385
28;SE;2014;74
27;AL;2014;125
26;PE;2014;239
25;PB;2014;117
24;RN;2014;102
23;CE;2014;285
22;PI;2014;63
21;MA;2014;152
17;TO;2014;35
16;AP;2014;20
15;PA;2014;249
14;RR;2014;24
13;AM;2014;80
12;AC;2014;20
53;DF;2015;58
11;RO;2015;63
12;AC;2015;19
13;AM;2015;115
14;RR;2015;29
15;PA;2015;261
16;AP;2015;18
17;TO;2015;48
21;MA;2015;148
22;PI;2015;67
23;CE;2015;254
24;RN;2015;92
25;PB;2015;111
26;PE;2015;233
27;AL;2015;95
28;SE;2015;70
29;BA;2015;382
31;MG;2015;415
32;ES;2015;141
33;RJ;2015;387
35;SP;2015;559
41;PR;2015;244
42;SC;2015;97
43;RS;2015;284
50;MS;2015;58
51;MT;2015;118
52;GO;2015;255
11;RO;2016;54
12;AC;2016;23
13;AM;2016;116
14;RR;2016;25
15;PA;2016;294
16;AP;2016;17
17;TO;2016;45
21;MA;2016;159
22;PI;2016;50
23;CE;2016;218
24;RN;2016;100
25;PB;2016;107
26;PE;2016;282
27;AL;2016;101
28;SE;2016;60
29;BA;2016;441
31;MG;2016;375
32;ES;2016;104
33;RJ;2016;428
35;SP;2016;507
41;PR;2016;238
42;SC;2016;107
43;RS;2016;308
50;MS;2016;80
51;MT;2016;104
52;GO;2016;238
53;DF;2016;64
27;AL;2017;111
11;RO;2017;62
12;AC;2017;34
13;AM;2017;115
14;RR;2017;27
15;PA;2017;311
16;AP;2017;27
17;TO;2017;38
21;MA;2017;127
22;PI;2017;52
23;CE;2017;374
24;RN;2017;148
25;PB;2017;88
26;PE;2017;310
28;SE;2017;77
29;BA;2017;487
31;MG;2017;388
32;ES;2017;151
33;RJ;2017;401
35;SP;2017;495
41;PR;2017;247
42;SC;2017;109
43;RS;2017;302
50;MS;2017;61
51;MT;2017;92
52;GO;2017;256
53;DF;2017;46
11;RO;2018;42
53;DF;2018;55
52;GO;2018;220
51;MT;2018;88
50;MS;2018;66
43;RS;2018;256
42;SC;2018;91
41;PR;2018;211
35;SP;2018;454
33;RJ;2018;380
32;ES;2018;100
31;MG;2018;349
29;BA;2018;427
28;SE;2018;40
27;AL;2018;67
26;PE;2018;240
25;PB;2018;82
24;RN;2018;102
23;CE;2018;475
22;PI;2018;52
21;MA;2018;122
17;TO;2018;47
16;AP;2018;15
15;PA;2018;323
14;RR;2018;53
13;AM;2018;127
12;AC;2018;35
53;DF;2019;55
11;RO;2019;43
12;AC;2019;32
13;AM;2019;118
14;RR;2019;33
15;PA;2019;232
16;AP;2019;19
17;TO;2019;36
21;MA;2019;114
22;PI;2019;47
23;CE;2019;221
24;RN;2019;98
25;PB;2019;72
26;PE;2019;204
27;AL;2019;90
28;SE;2019;53
29;BA;2019;396
31;MG;2019;295
32;ES;2019;97
33;RJ;2019;217
35;SP;2019;405
41;PR;2019;204
42;SC;2019;114
43;RS;2019;236
50;MS;2019;61
51;MT;2019;84
52;GO;2019;161
11;RO;2020;54
53;DF;2020;35
52;GO;2020;134
51;MT;2020;105
50;MS;2020;71
43;RS;2020;214
42;SC;2020;86
41;PR;2020;197
35;SP;2020;397
33;RJ;2020;285
32;ES;2020;101
31;MG;2020;270
29;BA;2020;444
28;SE;2020;43
27;AL;2020;89
26;PE;2020;223
25;PB;2020;94
24;RN;2020;81
23;CE;2020;319
22;PI;2020;54
21;MA;2020;140
17;TO;2020;35
16;AP;2020;22
15;PA;2020;193
14;RR;2020;35
13;AM;2020;85
12;AC;2020;27
25;PB;2021;83
52;GO;2021;145
51;MT;2021;81
50;MS;2021;66
43;RS;2021;230
42;SC;2021;92
41;PR;2021;197
35;SP;2021;342
33;RJ;2021;284
32;ES;2021;125
31;MG;2021;249
29;BA;2021;463
28;SE;2021;37
27;AL;2021;65
26;PE;2021;245
53;DF;2021;46
24;RN;2021;70
23;CE;2021;336
22;PI;2021;68
21;MA;2021;131
17;TO;2021;39
16;AP;2021;19
15;PA;2021;208
14;RR;2021;20
13;AM;2021;135
12;AC;2021;28
11;RO;2021;54
52;GO;2022;146
12;AC;2022;23
13;AM;2022;118
14;RR;2022;31
15;PA;2022;203
16;AP;2022;16
17;TO;2022;30
21;MA;2022;127
22;PI;2022;67
23;CE;2022;275
24;RN;2022;71
25;PB;2022;84
26;PE;2022;229
27;AL;2022;77
11;RO;2022;65
28;SE;2022;36
29;BA;2022;411
31;MG;2022;272
32;ES;2022;102
33;RJ;2022;253
35;SP;2022;373
41;PR;2022;240
42;SC;2022;93
43;RS;2022;250
50;MS;2022;71
51;MT;2022;108
53;DF;2022;35
